product_a,product_b,effect,p
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_7FE34FAD | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.487,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_08F6083D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_1905F18D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.555,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_0A5237B7 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_2757963A | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AF79CB08 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.8198,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.5138,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_0A5237B7 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.6757,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_2A40F9A5 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.6627,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_0A5237B7 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_7FE34FAD | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.6901,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_9A4A20B4 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_08F6083D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.7655,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_2A40F9A5 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_83F6910A | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.3597,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_08F6083D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_3B880000 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.4794,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_83F6910A | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.8159,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_2A40F9A5 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_2757963A | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AF79CB08 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.5299,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_368A0D73 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_7FE34FAD | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.3254,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_2A40F9A5 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_43BD4087 | PPG_ATTR6_793F866E | PPG_ATTR7_C37DE1E7 | PPG_ATTR8_CD4F119F | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.8167,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_2A40F9A5 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_42E7BE8A | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.4449,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_1905F18D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_9DC591A2 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_9DC591A2 | PPG_ATTR4_AE186179 | PPG_ATTR5_973D3C88 | PPG_ATTR6_92B72C5A | PPG_ATTR7_5964F492 | PPG_ATTR8_A718BD30 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-1.7672,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_9A4A20B4 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_A15E84BA | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_1905F18D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.5368,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_42E7BE8A | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,1.3311,0.0
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_793F866E | PPG_ATTR7_A87D5006 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_A15E84BA | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_2DA14E67 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.4639,0.0
PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_5A631A03 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_74BD7946 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_F6394E71 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E06D3901 | PPG_ATTR4_AE186179 | PPG_ATTR5_6E46E132 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_1905F18D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.3856,0.0
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_83F6910A | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_D1C41E8A | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_AE186179 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_AA3AF832 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,0.869,0.0
PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_B2D6C1E6 | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_9A42151D | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,PPG_ATTR1_DE0C4AF4 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_E73B26E8 | PPG_ATTR4_AE186179 | PPG_ATTR5_444AA6EB | PPG_ATTR6_793F866E | PPG_ATTR7_164D04A0 | PPG_ATTR8_2E1CCAFA | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,-0.5785,0.0
